"id","year","num_parts","set_num"
6055,1960,50,"237-1"
9506,1962,755,"810-4"
7124,1976,473,"258-1"
15957,1986,668,"5580-1"
4131,2009,3261,"10196-1"
164298,1971,917,"105-3"
4334,1992,954,"8868-1"
14878,1996,1746,"5571-1"
44145,2002,3116,"10030-1"
692,1999,1406,"8448-1"
16180,2012,3508,"5001132-1"
205118,1966,817,"004-1"
12824,1974,412,"145-1"
212697,1980,787,"7740-1"
15467,1993,925,"6286-1"
2488,2004,2246,K10131-1
124812,1965,304,"610-3"
24756,1967,712,"080-2"
5760,1975,596,"365-1"
5069,2006,2000,"5491-1"
223697,2024,5478,"10333-1"
24212,1949,178,"700.2-1"
15820,1959,21,"281-2"
137079,1972,332,"355-1"
5291,1988,898,"8865-1"
12161,2005,5462,SWMP-1
2796,2013,2989,"10234-1"
39881,2019,4784,"75252-1"
146741,1958,149,"309-2"
208272,1963,468,"450-2"
25379,1969,798,"842-2"
3484,1987,721,"557-1"
6409,2007,5198,"10179-1"
80641,2011,3152,"10221-1"
174735,1956,96,"1310-1"
11547,1973,665,"8-3"
3082,1982,744,"599-1"
4822,1990,1064,"5590-1"
136070,2014,3841,"5004243-1"
187481,2018,6020,"71043-1"
205131,1968,470,"502-1"
50677,1997,1274,"8479-1"
14521,2001,1868,"10018-1"
14469,2003,2847,k34432-1
136356,2016,4748,"5005217-1"
96074,1989,918,"6285-1"
1489,2000,2882,"3450-1"
35420,2010,4295,"10214-1"
30510,2015,10004,BIGBOX-1
164965,2023,6181,"10316-1"
231229,2025,0,"9781837250646-1"
1721,1954,54,"700GP5-1"
5261,1983,570,"7727-1"
167285,1991,1078,"6542-1"
18221,1994,1346,"8880-1"
77052,2020,9036,"10276-1"
195456,1955,59,"1236-2"
5266,1957,238,"700.0-1"
15807,1984,679,"6080-1"
10283,1998,1201,"3026-1"
9703,1961,760,"810-2"
7557,1977,608,"853-1"
76,2008,5922,"10189-1"
126067,1953,48,"700.F-1"
119,1964,253,"323-1"
5574,1970,471,WEETABIX1-1
37201,1978,982,"398-1"
4203,1979,512,"955-1"
196860,1985,737,"7745-1"
8504,1995,1067,"8485-1"
99244,2021,11695,"31203-1"
24245,1950,1,"700.B.4-1"
14978,1981,775,"6075-2"
19670,2017,7541,"75192-1"
150356,2022,10001,"10307-1"
