"weight","source","source_id","source_name","target","target_id","target_name"
282,"507-Educational and Dacta",507,Educational and Dacta,"524-Service Packs",524,Service Packs
10,"696-Super Heroes Marvel",696,Super Heroes Marvel,"706-Spider-Man",706,Spider-Man
15,"507-Educational and Dacta",507,Educational and Dacta,"529-Technic",529,Technic
100,"504-Duplo",504,Duplo,"754-Disney",754,Disney
51,"695-Super Heroes DC",695,Super Heroes DC,"697-Batman",697,Batman
71,"206-Seasonal",206,Seasonal,"207-Advent",207,Advent
36,"206-Seasonal",206,Seasonal,"227-Christmas",227,Christmas
65,"507-Educational and Dacta",507,Educational and Dacta,"518-Mindstorms",518,Mindstorms
97,"504-Duplo",504,Duplo,"632-Town",632,Town
21,"186-Castle",186,Castle,"197-Knights Kingdom I",197,Knights Kingdom I
124,"695-Super Heroes DC",695,Super Heroes DC,"697-Batman",697,Batman
30,"126-Space",126,Space,"135-Life On Mars",135,Life On Mars
28,"52-City",52,City,"55-Coast Guard",55,Coast Guard
10,"112-Racers",112,Racers,"123-World Racers",123,World Racers
23,"507-Educational and Dacta",507,Educational and Dacta,"510-Serious Play",510,Serious Play
10,"296-Adventurers",296,Adventurers,"299-Jungle",299,Jungle
36,"400-Hero Factory",400,Hero Factory,"403-Villains",403,Villains
16,"571-Legends of Chima",571,Legends of Chima,"573-Constraction",573,Constraction
31,"206-Seasonal",206,Seasonal,"230-Halloween",230,Halloween
62,"52-City",52,City,"63-Traffic",63,Traffic
19,"535-Collectible Minifigures",535,Collectible Minifigures,"542-Series 7 Minifigures",542,Series 7 Minifigures
5,"307-Aquazone",307,Aquazone,"311-Aquasharks",311,Aquasharks
371,"501-Gear",501,Gear,"739-Stationery and Office Supplies",739,Stationery and Office Supplies
254,"497-Books",497,Books,"759-Story Books",759,Story Books
35,"435-Ninjago",435,Ninjago,"616-The LEGO Ninjago Movie",616,The LEGO Ninjago Movie
22,"52-City",52,City,"59-Harbor",59,Harbor
21,"112-Racers",112,Racers,"118-Promotional",118,Promotional
289,"501-Gear",501,Gear,"742-Video Games and Accessories",742,Video Games and Accessories
