"id","year","n_items","num_parts","set_num","name","set_img_url","first_theme_id","second_theme_id","third_theme_id","first_theme_name","second_theme_name","third_theme_name","agg_type","color_id","color_name","color_rgb","n_color_parts"
223697,2024,641,5478,"10333-1",The Lord of the Rings: Barad-dûr,https://cdn.rebrickable.com/media/sets/10333-1.jpg,721,,,Icons,,,color_group,,Black,"05131D",2061
164965,2023,1039,6181,"10316-1",Lord of the Rings: Rivendell,https://cdn.rebrickable.com/media/sets/10316-1.jpg,721,,,Icons,,,color_group,,Gray,"6C6E68",1970
150356,2022,1048,10001,"10307-1",Eiffel Tower,https://cdn.rebrickable.com/media/sets/10307-1.jpg,721,,,Icons,,,color_group,,Gray,"6C6E68",7731
99244,2021,1259,11695,"31203-1",World Map,https://cdn.rebrickable.com/media/sets/31203-1.jpg,709,,,LEGO Art,,,color_group,,White,FFFFFF,3344
77052,2020,1169,9036,"10276-1",Colosseum,https://cdn.rebrickable.com/media/sets/10276-1.jpg,721,,,Icons,,,color_group,,Tan,E4CD9E,7150
39881,2019,1078,4784,"75252-1",Imperial Star Destroyer,https://cdn.rebrickable.com/media/sets/75252-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,,Gray,"6C6E68",3307
187481,2018,980,6020,"71043-1",Hogwarts Castle,https://cdn.rebrickable.com/media/sets/71043-1.jpg,246,,,Harry Potter,,,color_group,,Tan,E4CD9E,2580
19670,2017,1019,7541,"75192-1",Millennium Falcon,https://cdn.rebrickable.com/media/sets/75192-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,,Gray,"6C6E68",5030
2796,2013,785,2989,"10234-1",Sydney Opera House,https://cdn.rebrickable.com/media/sets/10234-1.jpg,22,673,,Creator,Creator Expert,,color_group,,Tan,E4CD9E,1080
80641,2011,668,3152,"10221-1",Super Star Destroyer,https://cdn.rebrickable.com/media/sets/10221-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,,Gray,"6C6E68",2192
7847,2010,572,5200,"2000409-1",Window Exploration Bag,https://cdn.rebrickable.com/media/sets/2000409-1.jpg,507,510,,Educational and Dacta,Serious Play,,color_group,,Gray,"6C6E68",1100
4131,2009,575,3261,"10196-1",Grand Carousel,https://cdn.rebrickable.com/media/sets/10196-1.jpg,22,673,,Creator,Creator Expert,,color_group,,White,FFFFFF,1068
76,2008,495,5922,"10189-1",Taj Mahal,https://cdn.rebrickable.com/media/sets/10189-1.jpg,22,673,,Creator,Creator Expert,,color_group,,White,FFFFFF,3548
