"quantity","agg_type","year","color_id","is_spare","color_name","color_rgb","color_group_id","color_group_name","color_group_rgb"
8258,color,1999,0,false,Black,"05131D",2,Black,"05131D"
2,color,1976,1,true,Blue,"0055BF",5,Blue,"0055BF"
4574,color,1985,0,false,Black,"05131D",2,Black,"05131D"
11972,color,1998,0,false,Black,"05131D",2,Black,"05131D"
78,color,1998,41,false,Trans-Light Blue,AEEFEC,5,Blue,"0055BF"
1510,color,2011,2,false,Green,"237841",9,Green,"237841"
18,color,2011,288,true,Dark Green,"184632",9,Green,"237841"
34,color,2002,36,true,Trans-Red,C91A09,4,Red,C91A09
1776,color,2014,41,false,Trans-Light Blue,AEEFEC,5,Blue,"0055BF"
319,color,2016,72,true,Dark Bluish Gray,"6C6E68",1,Gray,"6C6E68"
482,color,2016,9999,false,[No Color/Any Color],"05131D",11,Rest,CCCCCC
842,color,2016,0,true,Black,"05131D",2,Black,"05131D"
13,color,2010,92,false,Nougat,D09168,7,Brown,"583927"
10935,color,2001,0,false,Black,"05131D",2,Black,"05131D"
2571,color,2001,1,false,Blue,"0055BF",5,Blue,"0055BF"
816,color,2016,85,false,Dark Purple,"3F3691",15,Purple,"81007B"
6366,color,2016,70,false,Reddish Brown,"582A12",7,Brown,"583927"
2405,color,2012,2,false,Green,"237841",9,Green,"237841"
468,color,2012,71,true,Light Bluish Gray,A0A5A9,1,Gray,"6C6E68"
2,color,2012,35,true,Trans-Bright Green,D9E4A7,9,Green,"237841"
352,color,2012,40,false,Trans-Brown,"635F52",7,Brown,"583927"
5144,color,2008,1,false,Blue,"0055BF",5,Blue,"0055BF"
56,color,1978,9999,false,[No Color/Any Color],"05131D",11,Rest,CCCCCC
1931,color,1984,0,false,Black,"05131D",2,Black,"05131D"
425,color,2011,0,true,Black,"05131D",2,Black,"05131D"
118,color,2004,42,false,Trans-Neon Green,F8F184,9,Green,"237841"
1556,color,2016,27,false,Lime,BBE90B,14,Lime,BBE90B
69,color,2013,35,false,Trans-Bright Green,D9E4A7,9,Green,"237841"
36,color,2013,320,true,Dark Red,"720E0F",4,Red,C91A09
744,color,2013,36,false,Trans-Red,C91A09,4,Red,C91A09
