"n_items","source_name","target_name"
9,"504-Duplo","630-Marvel"
60,"504-Duplo","652-Playhouse"
16,"504-Duplo","647-Castle"
3,"504-Duplo","666-Zooters"
16,"504-Duplo","658-Dino"
5,"504-Duplo","722-Jurassic World"
31,"504-Duplo","626-Bob the Builder"
9,"504-Duplo","653-DC Comics"
10,"504-Duplo","660-Little Forest Friends"
23,"504-Duplo","663-Rattles"
4,"504-Duplo","651-Pirates"
18,"504-Duplo","631-Thomas & Friends"
6,"504-Duplo","659-Dolls"
16,"504-Duplo","661-Little Robots"
10,"504-Duplo","665-Western"
7,"504-Duplo","662-Princess Castle"
13,"504-Duplo","664-Toolo"
5,"504-Duplo","628-Dora the Explorer"
388,"504-Duplo","505-Basic Set"
9,"504-Duplo","657-Action Wheelers"
3,"504-Duplo","639-Sofia the First"
467,"504-Duplo","632-Town"
100,"504-Duplo","754-Disney"
73,"504-Duplo","634-Trains"
7,"754-Disney","638-Jake and the Never Land Pirates"
86,"632-Town","650-Legoville"
3,"754-Disney","629-Miles From Tomorrowland"
11,"632-Town","636-My Town"
19,"754-Disney","640-Disney Princess"
4,"754-Disney","627-Planes"
4,"754-Disney","648-Doc McStuffins"
6,"754-Disney","633-Toy Story"
21,"754-Disney","506-Cars"
18,"754-Disney","635-Winnie the Pooh"
18,"754-Disney","641-Mickey & Friends"
