"id","year","n_items","num_parts","set_num","name","set_img_url","first_theme_id","second_theme_id","third_theme_id","first_theme_name","second_theme_name","third_theme_name","agg_type","color_id","color_name","color_rgb","n_color_parts"
5266,1957,34,238,"700.0-1",Gift Package,https://cdn.rebrickable.com/media/sets/700.0-1.jpg,365,372,,System,Town Plan,,color_group,4,Red,C91A09,118
5574,1970,46,471,WEETABIX1-1,Weetabix Castle,https://cdn.rebrickable.com/media/sets/weetabix1-1.jpg,411,414,,Legoland,Castle,,color_group,3,White,FFFFFF,222
6055,1960,3,50,"237-1",Number Bricks,https://cdn.rebrickable.com/media/sets/237-1.jpg,365,371,,System,Supplemental,,color_group,3,White,FFFFFF,50
14978,1981,90,775,"6075-2",Castle,https://cdn.rebrickable.com/media/sets/6075-2.jpg,186,189,,Castle,Classic Castle,,color_group,6,Yellow,F2CD37,502
39881,2019,1078,4784,"75252-1",Imperial Star Destroyer,https://cdn.rebrickable.com/media/sets/75252-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,1,Gray,"6C6E68",3307
77052,2020,1169,9036,"10276-1",Colosseum,https://cdn.rebrickable.com/media/sets/10276-1.jpg,721,,,Icons,,,color_group,8,Tan,E4CD9E,7150
146741,1958,135,149,"309-2",Church,https://cdn.rebrickable.com/media/sets/309-2.jpg,365,372,,System,Town Plan,,color_group,3,White,FFFFFF,131
18221,1994,179,1346,"8880-1",Super Car,https://cdn.rebrickable.com/media/sets/8880-1.jpg,1,,,Technic,,,color_group,2,Black,"05131D",706
24212,1949,7,178,"700.2-1",Large Gift Set (ABB),https://cdn.rebrickable.com/media/sets/700.2-1.jpg,365,,,System,,,color_group,9,Green,"237841",46
25379,1969,96,798,"842-2",Town Plan,https://cdn.rebrickable.com/media/sets/842-2.jpg,365,756,,System,Samsonite,,color_group,3,White,FFFFFF,248
195456,1955,83,59,"1236-2",Garage,https://cdn.rebrickable.com/media/sets/1236-2.jpg,365,372,,System,Town Plan,,color_group,3,White,FFFFFF,39
205131,1968,43,470,"502-1",Deluxe Set with Storage Case,https://cdn.rebrickable.com/media/sets/502-1.jpg,365,756,,System,Samsonite,,color_group,4,Red,C91A09,183
223697,2024,641,5478,"10333-1",The Lord of the Rings: Barad-dûr,https://cdn.rebrickable.com/media/sets/10333-1.jpg,721,,,Icons,,,color_group,2,Black,"05131D",2061
15820,1959,4,21,"281-2","1 x 2 and 3 x 2 Sloping Bricks, Blue",https://cdn.rebrickable.com/media/sets/281-2.jpg,365,371,,System,Supplemental,,color_group,5,Blue,"0055BF",21
96074,1989,152,918,"6285-1",Black Seas Barracuda,https://cdn.rebrickable.com/media/sets/6285-1.jpg,147,148,,Pirates,Pirates I,,color_group,2,Black,"05131D",574
164298,1971,60,917,"105-3",Imagination Set 5,https://cdn.rebrickable.com/media/sets/105-3.jpg,365,756,,System,Samsonite,,color_group,3,White,FFFFFF,382
692,1999,378,1406,"8448-1",Super Street Sensation,https://cdn.rebrickable.com/media/sets/8448-1.jpg,1,,,Technic,,,color_group,2,Black,"05131D",868
11547,1973,76,665,"8-3",Basic Set,https://cdn.rebrickable.com/media/sets/8-3.jpg,465,,,Universal Building Set,,,color_group,4,Red,C91A09,268
9703,1961,66,760,"810-2",Town Plan - Continental European,https://cdn.rebrickable.com/media/sets/810-2.jpg,365,372,,System,Town Plan,,color_group,3,White,FFFFFF,441
