"year","theme_id","theme_name","relative","n_items","source_name","target_name"
1999,524,Service Packs,father,369,"507-Educational and Dacta","524-Service Packs"
2010,754,Disney,father,100,"504-Duplo","754-Disney"
2018,754,Disney,father,100,"504-Duplo","754-Disney"
2009,524,Service Packs,father,369,"507-Educational and Dacta","524-Service Packs"
2024,754,Disney,father,100,"504-Duplo","754-Disney"
1998,524,Service Packs,father,369,"507-Educational and Dacta","524-Service Packs"
2003,518,Mindstorms,father,90,"507-Educational and Dacta","518-Mindstorms"
1998,518,Mindstorms,father,90,"507-Educational and Dacta","518-Mindstorms"
2021,697,Batman,father,174,"695-Super Heroes DC","697-Batman"
2012,524,Service Packs,father,369,"507-Educational and Dacta","524-Service Packs"
2016,227,Christmas,father,199,"206-Seasonal","227-Christmas"
2006,518,Mindstorms,father,90,"507-Educational and Dacta","518-Mindstorms"
2023,227,Christmas,father,199,"206-Seasonal","227-Christmas"
2005,518,Mindstorms,father,90,"507-Educational and Dacta","518-Mindstorms"
2009,227,Christmas,father,199,"206-Seasonal","227-Christmas"
2014,548,Series 12 Minifigures,son,19,"535-Collectible Minifigures","548-Series 12 Minifigures"
2005,58,Fire,son,120,"52-City","58-Fire"
2001,227,Christmas,son,199,"206-Seasonal","227-Christmas"
1990,136,M:Tron,son,11,"126-Space","136-M:Tron"
1989,194,Forestmen,son,7,"186-Castle","194-Forestmen"
2012,673,Creator Expert,son,67,"22-Creator","673-Creator Expert"
2017,609,The LEGO Batman Movie Series 1,son,23,"535-Collectible Minifigures","609-The LEGO Batman Movie Series 1"
1990,199,Lion Knights,son,27,"186-Castle","199-Lion Knights"
2013,672,Creator 3-in-1,son,255,"22-Creator","672-Creator 3-in-1"
1976,419,Harbor,son,3,"411-Legoland","419-Harbor"
2015,553,The Simpsons Series 2,son,19,"535-Collectible Minifigures","553-The Simpsons Series 2"
2016,555,Disney Series 1,son,21,"535-Collectible Minifigures","555-Disney Series 1"
1999,20,Throwbot Slizer,son,17,"1-Technic","20-Throwbot Slizer"
1973,421,Police,son,11,"411-Legoland","421-Police"
2011,232,Valentine,son,21,"206-Seasonal","232-Valentine"
2011,403,Villains,son,36,"400-Hero Factory","403-Villains"
2017,687,Frozen,son,34,"608-Disney","687-Frozen"
2006,673,Creator Expert,son,67,"22-Creator","673-Creator Expert"
2014,573,Constraction,son,16,"571-Legends of Chima","573-Constraction"
2012,63,Traffic,son,62,"52-City","63-Traffic"
1992,473,Supplemental,son,96,"465-Universal Building Set","473-Supplemental"
2009,153,Pirates II,son,18,"147-Pirates","153-Pirates II"
2015,56,Construction,son,88,"52-City","56-Construction"
2012,64,Off-Road,son,11,"52-City","64-Off-Road"
2016,672,Creator 3-in-1,son,255,"22-Creator","672-Creator 3-in-1"
1973,423,Vehicle,son,31,"411-Legoland","423-Vehicle"
2010,672,Creator 3-in-1,son,255,"22-Creator","672-Creator 3-in-1"
2010,403,Villains,son,36,"400-Hero Factory","403-Villains"
2007,503,Key Chain,son,707,"501-Gear","503-Key Chain"
2017,614,Jungle,son,10,"52-City","614-Jungle"
2017,618,The LEGO Ninjago Movie,son,23,"535-Collectible Minifigures","618-The LEGO Ninjago Movie"
2017,59,Harbor,son,22,"52-City","59-Harbor"
2018,579,Disney Princess,son,100,"608-Disney","579-Disney Princess"
2018,65,Arctic,son,25,"52-City","65-Arctic"
2019,59,Harbor,son,22,"52-City","59-Harbor"
2009,118,Promotional,son,21,"112-Racers","118-Promotional"
2013,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2005,56,Construction,son,88,"52-City","56-Construction"
2018,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2019,410,Pick A Model,son,32,"408-LEGO Brand Store","410-Pick A Model"
2019,735,Plush Toys,son,99,"501-Gear","735-Plush Toys"
2016,593,Disney Princess,son,5,"591-Juniors","593-Disney Princess"
2008,672,Creator 3-in-1,son,255,"22-Creator","672-Creator 3-in-1"
1977,419,Harbor,son,3,"411-Legoland","419-Harbor"
2019,679,Mars Exploration,son,16,"52-City","679-Mars Exploration"
1958,371,Supplemental,son,531,"365-System","371-Supplemental"
1961,371,Supplemental,son,531,"365-System","371-Supplemental"
1993,453,Technic,son,152,"443-Service Packs","453-Technic"
1957,371,Supplemental,son,531,"365-System","371-Supplemental"
2002,94,Town Jr.,son,40,"50-Town","94-Town Jr."
1999,106,City Center,son,22,"50-Town","106-City Center"
2017,706,Spider-Man,son,108,"696-Super Heroes Marvel","706-Spider-Man"
2003,661,Little Robots,son,16,"504-Duplo","661-Little Robots"
2018,722,Jurassic World,son,5,"504-Duplo","722-Jurassic World"
1979,130,Classic Space,son,105,"126-Space","130-Classic Space"
1975,235,"4.5V",son,92,"233-Train","235-4.5V"
1977,471,Ferries,son,17,"598-Promotional","471-Ferries"
1987,729,Airlines,son,17,"598-Promotional","729-Airlines"
2016,733,Houseware,son,327,"501-Gear","733-Houseware"
2006,739,Stationery and Office Supplies,son,357,"501-Gear","739-Stationery and Office Supplies"
2021,739,Stationery and Office Supplies,son,357,"501-Gear","739-Stationery and Office Supplies"
2014,739,Stationery and Office Supplies,son,357,"501-Gear","739-Stationery and Office Supplies"
2021,759,Story Books,son,241,"497-Books","759-Story Books"
2017,736,Posters and Art Prints,son,85,"501-Gear","736-Posters and Art Prints"
2003,236,"9V",son,106,"233-Train","236-9V"
2012,196,Kingdoms,son,25,"186-Castle","196-Kingdoms"
2023,672,Creator 3-in-1,son,255,"22-Creator","672-Creator 3-in-1"
2002,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2023,528,Supplemental,son,30,"507-Educational and Dacta","528-Supplemental"
2023,736,Posters and Art Prints,son,85,"501-Gear","736-Posters and Art Prints"
2015,733,Houseware,son,327,"501-Gear","733-Houseware"
2013,733,Houseware,son,327,"501-Gear","733-Houseware"
1976,412,Airport,son,18,"411-Legoland","412-Airport"
2013,229,Easter,son,50,"206-Seasonal","229-Easter"
2008,673,Creator Expert,son,67,"22-Creator","673-Creator Expert"
2012,562,The Hobbit,son,25,"561-The Hobbit and Lord of the Rings","562-The Hobbit"
1996,131,Exploriens,son,9,"126-Space","131-Exploriens"
2007,114,Ferrari,son,37,"112-Racers","114-Ferrari"
1968,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
1998,195,Fright Knights,son,17,"186-Castle","195-Fright Knights"
1990,473,Supplemental,son,96,"465-Universal Building Set","473-Supplemental"
1972,473,Supplemental,son,96,"465-Universal Building Set","473-Supplemental"
2003,524,Service Packs,son,369,"507-Educational and Dacta","524-Service Packs"
2024,705,Iron Man,son,8,"696-Super Heroes Marvel","705-Iron Man"
2004,706,Spider-Man,son,108,"696-Super Heroes Marvel","706-Spider-Man"
1949,371,Supplemental,son,531,"365-System","371-Supplemental"
1997,86,Divers,son,12,"50-Town","86-Divers"
1978,453,Technic,son,152,"443-Service Packs","453-Technic"
2017,704,Guardians of the Galaxy,son,15,"696-Super Heroes Marvel","704-Guardians of the Galaxy"
2015,729,Airlines,son,17,"598-Promotional","729-Airlines"
1986,21,Universal Building Set,son,23,"1-Technic","21-Universal Building Set"
2019,673,Creator Expert,son,67,"22-Creator","673-Creator Expert"
2019,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2013,518,Mindstorms,son,90,"507-Educational and Dacta","518-Mindstorms"
2012,58,Fire,son,120,"52-City","58-Fire"
2006,734,Magnets,son,124,"501-Gear","734-Magnets"
2021,712,Series 21 Minifigures,son,16,"535-Collectible Minifigures","712-Series 21 Minifigures"
2007,740,Storage,son,166,"501-Gear","740-Storage"
2015,653,DC Comics,son,9,"504-Duplo","653-DC Comics"
2022,738,Seasonal,son,65,"501-Gear","738-Seasonal"
2024,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
2012,672,Creator 3-in-1,son,255,"22-Creator","672-Creator 3-in-1"
2009,673,Creator Expert,son,67,"22-Creator","673-Creator Expert"
2021,229,Easter,son,50,"206-Seasonal","229-Easter"
2024,56,Construction,son,88,"52-City","56-Construction"
2016,199,Lion Knights,son,27,"186-Castle","199-Lion Knights"
2007,528,Supplemental,son,30,"507-Educational and Dacta","528-Supplemental"
2005,478,X-Pod,son,26,"22-Creator","478-X-Pod"
1989,456,Train,son,76,"443-Service Packs","456-Train"
1998,51,Arctic,son,11,"50-Town","51-Arctic"
1997,89,Outback,son,5,"50-Town","89-Outback"
2004,53,Airport,son,40,"52-City","53-Airport"
1967,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
1986,234,"12V",son,65,"233-Train","234-12V"
2009,528,Supplemental,son,30,"507-Educational and Dacta","528-Supplemental"
2018,697,Batman,son,174,"695-Super Heroes DC","697-Batman"
2018,734,Magnets,son,124,"501-Gear","734-Magnets"
2021,55,Coast Guard,son,28,"52-City","55-Coast Guard"
2004,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
1997,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2007,739,Stationery and Office Supplies,son,357,"501-Gear","739-Stationery and Office Supplies"
2023,63,Traffic,son,62,"52-City","63-Traffic"
1983,534,Universal Building Set,son,21,"507-Educational and Dacta","534-Universal Building Set"
1960,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
2012,53,Airport,son,40,"52-City","53-Airport"
2006,19,Supplemental,son,17,"1-Technic","19-Supplemental"
2021,56,Construction,son,88,"52-City","56-Construction"
2008,634,Trains,son,73,"504-Duplo","634-Trains"
1992,456,Train,son,76,"443-Service Packs","456-Train"
2002,634,Trains,son,73,"504-Duplo","634-Trains"
1991,136,M:Tron,son,11,"126-Space","136-M:Tron"
2020,232,Valentine,son,21,"206-Seasonal","232-Valentine"
1986,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
1973,413,Building,son,25,"411-Legoland","413-Building"
2000,518,Mindstorms,son,90,"507-Educational and Dacta","518-Mindstorms"
1994,143,Supplemental,son,16,"126-Space","143-Supplemental"
2024,227,Christmas,son,199,"206-Seasonal","227-Christmas"
1977,424,Western,son,4,"411-Legoland","424-Western"
2009,58,Fire,son,120,"52-City","58-Fire"
1991,498,Technic,son,10,"497-Books","498-Technic"
2016,592,DC Comics Super Heroes,son,5,"591-Juniors","592-DC Comics Super Heroes"
2018,670,The LEGO Movie II,son,42,"578-The LEGO Movie","670-The LEGO Movie II"
1968,369,Jumbo Bricks,son,7,"365-System","369-Jumbo Bricks"
2008,647,Castle,son,16,"504-Duplo","647-Castle"
1983,235,"4.5V",son,92,"233-Train","235-4.5V"
2018,60,Hospital,son,24,"52-City","60-Hospital"
1986,227,Christmas,son,199,"206-Seasonal","227-Christmas"
2012,737,Role Play Toys and Costumes,son,223,"501-Gear","737-Role Play Toys and Costumes"
2013,740,Storage,son,166,"501-Gear","740-Storage"
2011,510,Serious Play,son,23,"507-Educational and Dacta","510-Serious Play"
2022,510,Serious Play,son,23,"507-Educational and Dacta","510-Serious Play"
1973,420,Hospital,son,9,"411-Legoland","420-Hospital"
1973,412,Airport,son,18,"411-Legoland","412-Airport"
2000,453,Technic,son,152,"443-Service Packs","453-Technic"
2001,626,Bob the Builder,son,31,"504-Duplo","626-Bob the Builder"
2009,510,Serious Play,son,23,"507-Educational and Dacta","510-Serious Play"
1961,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
2003,461,Hockey,son,18,"458-Sports","461-Hockey"
1999,93,Space Port,son,22,"50-Town","93-Space Port"
2019,630,Marvel,son,9,"504-Duplo","630-Marvel"
1964,368,HO 1:87 Vehicles,son,215,"365-System","368-HO 1:87 Vehicles"
2022,702,Avengers,son,122,"696-Super Heroes Marvel","702-Avengers"
2007,462,Soccer,son,109,"458-Sports","462-Soccer"
1965,368,HO 1:87 Vehicles,son,215,"365-System","368-HO 1:87 Vehicles"
2022,57,Farm,son,21,"52-City","57-Farm"
1989,132,Futuron,son,20,"126-Space","132-Futuron"
1993,533,Town,son,36,"507-Educational and Dacta","533-Town"
2022,722,Jurassic World,son,5,"504-Duplo","722-Jurassic World"
2021,60,Hospital,son,24,"52-City","60-Hospital"
1998,533,Town,son,36,"507-Educational and Dacta","533-Town"
2009,730,Audio and Visual Media,son,75,"501-Gear","730-Audio and Visual Media"
2022,66,Trains,son,37,"52-City","66-Trains"
2023,57,Farm,son,21,"52-City","57-Farm"
2002,459,Basketball,son,35,"458-Sports","459-Basketball"
1996,664,Toolo,son,13,"504-Duplo","664-Toolo"
2007,697,Batman,son,174,"695-Super Heroes DC","697-Batman"
2002,187,Black Falcons,son,7,"186-Castle","187-Black Falcons"
2012,231,Thanksgiving,son,8,"206-Seasonal","231-Thanksgiving"
1997,528,Supplemental,son,30,"507-Educational and Dacta","528-Supplemental"
