"n_items","source_name","target_name"
75,"206-Seasonal","207-Advent"
23,"535-Collectible Minifigures","711-The LEGO Batman Movie Series 2"
11,"126-Space","136-M:Tron"
223,"501-Gear","737-Role Play Toys and Costumes"
19,"535-Collectible Minifigures","537-Series 2 Minifigures"
23,"535-Collectible Minifigures","609-The LEGO Batman Movie Series 1"
25,"561-The Hobbit and Lord of the Rings","562-The Hobbit"
6,"507-Educational and Dacta","526-Soft Bricks"
41,"501-Gear","741-Tabletop Games and Puzzles"
15,"608-Disney","388-Mickey Mouse"
214,"501-Gear","732-Clocks and Watches"
10,"497-Books","498-Technic"
19,"535-Collectible Minifigures","543-Series 8 Minifigures"
11,"411-Legoland","421-Police"
37,"112-Racers","114-Ferrari"
2,"507-Educational and Dacta","511-Building Set with People"
5,"307-Aquazone","313-Stingrays"
15,"252-Architecture","253-Skylines"
8,"591-Juniors","595-Friends"
100,"608-Disney","579-Disney Princess"
99,"497-Books","757-Ideas Books"
241,"497-Books","759-Story Books"
23,"535-Collectible Minifigures","675-The LEGO Movie II"
21,"507-Educational and Dacta","534-Universal Building Set"
5,"591-Juniors","593-Disney Princess"
13,"50-Town","92-Res-Q"
36,"507-Educational and Dacta","533-Town"
19,"598-Promotional","728-McDonalds"
10,"126-Space","127-Alien Conquest"
25,"186-Castle","196-Kingdoms"
16,"126-Space","143-Supplemental"
19,"535-Collectible Minifigures","536-Series 1 Minifigures"
3,"258-Mindstorms","261-Star Wars"
3,"186-Castle","191-Dark Forest"
1,"155-Modular Buildings","156-Mini"
109,"458-Sports","462-Soccer"
22,"50-Town","93-Space Port"
9,"504-Duplo","630-Marvel"
16,"535-Collectible Minifigures","714-Looney Tunes"
60,"504-Duplo","652-Playhouse"
282,"524-Service Packs","525-Technic"
7,"754-Disney","638-Jake and the Never Land Pirates"
21,"207-Advent","208-City"
9,"518-Mindstorms","519-NXT"
1,"207-Advent","215-Pirates"
1,"207-Advent","210-Belville"
73,"507-Educational and Dacta","529-Technic"
7,"186-Castle","194-Forestmen"
15,"302-Agents","303-Ultra Agents"
31,"571-Legends of Chima","572-Speedorz"
707,"501-Gear","503-Key Chain"
32,"408-LEGO Brand Store","410-Pick A Model"
298,"507-Educational and Dacta","516-Duplo and Explore"
17,"598-Promotional","729-Airlines"
28,"126-Space","129-Blacktron II"
25,"535-Collectible Minifigures","656-Harry Potter and Fantastic Beasts Series 1"
21,"112-Racers","118-Promotional"
451,"50-Town","67-Classic Town"
152,"443-Service Packs","453-Technic"
51,"158-Star Wars","171-Ultimate Collector Series"
16,"50-Town","91-Race"
16,"504-Duplo","647-Castle"
3,"504-Duplo","666-Zooters"
16,"504-Duplo","658-Dino"
5,"504-Duplo","722-Jurassic World"
52,"22-Creator","204-Designer Sets"
21,"52-City","57-Farm"
20,"126-Space","132-Futuron"
5,"1-Technic","17-Speed Slammers"
75,"501-Gear","730-Audio and Visual Media"
16,"535-Collectible Minifigures","715-Marvel Series 1"
10,"126-Space","140-Space Police II"
7,"276-Sculptures","277-Mosaic"
16,"535-Collectible Minifigures","762-Series 26 Minifigures"
16,"535-Collectible Minifigures","712-Series 21 Minifigures"
2,"507-Educational and Dacta","523-Samsonite"
9,"126-Space","128-Blacktron I"
22,"535-Collectible Minifigures","745-Disney 100"
6,"411-Legoland","418-Gas Station"
40,"518-Mindstorms","521-WeDo"
44,"697-Batman","708-The LEGO Batman Movie"
86,"632-Town","650-Legoville"
13,"207-Advent","216-Friends"
327,"501-Gear","733-Houseware"
19,"535-Collectible Minifigures","549-The LEGO Movie"
8,"206-Seasonal","231-Thanksgiving"
22,"258-Mindstorms","260-RCX"
96,"465-Universal Building Set","473-Supplemental"
86,"186-Castle","198-Knights Kingdom II"
21,"206-Seasonal","232-Valentine"
34,"608-Disney","687-Frozen"
16,"571-Legends of Chima","573-Constraction"
14,"411-Legoland","417-Fire"
31,"206-Seasonal","230-Halloween"
25,"112-Racers","122-RC"
21,"126-Space","137-Mars Mission"
38,"598-Promotional","157-Bricktober"
100,"501-Gear","731-Bag and Luggage Tags"
40,"50-Town","94-Town Jr."
76,"443-Service Packs","456-Train"
21,"50-Town","90-Paradisa"
21,"50-Town","87-Extreme Team"
31,"504-Duplo","626-Bob the Builder"
19,"126-Space","144-UFO"
11,"465-Universal Building Set","472-Gears"
20,"535-Collectible Minifigures","692-Series 20 Minifigures"
16,"535-Collectible Minifigures","718-Series 22 Minifigures"
16,"535-Collectible Minifigures","753-Series 25 Minifigures"
14,"258-Mindstorms","262-EV3"
15,"696-Super Heroes Marvel","704-Guardians of the Galaxy"
9,"504-Duplo","653-DC Comics"
9,"304-Alpha Team","306-Mission Deep Freeze"
10,"504-Duplo","660-Little Forest Friends"
5,"50-Town","89-Outback"
19,"535-Collectible Minifigures","557-DFB Minifigures"
10,"147-Pirates","154-Pirates III"
3,"411-Legoland","422-Space"
3,"754-Disney","629-Miles From Tomorrowland"
15,"207-Advent","209-Star Wars"
16,"518-Mindstorms","520-RCX"
36,"186-Castle","193-Fantasy Era"
21,"186-Castle","197-Knights Kingdom I"
7,"608-Disney","271-Prince of Persia"
69,"34-Make & Create","35-Bricks & More"
255,"22-Creator","672-Creator 3-in-1"
18,"411-Legoland","412-Airport"
146,"497-Books","758-Non-fiction Books"
154,"408-LEGO Brand Store","409-Monthly Mini Model Build"
18,"695-Super Heroes DC","700-Justice League"
19,"535-Collectible Minifigures","542-Series 7 Minifigures"
11,"307-Aquazone","310-Aquaraiders II"
29,"279-4 Juniors","280-Jack Stone"
6,"324-Bionicle","360-Protectors"
23,"504-Duplo","663-Rattles"
19,"535-Collectible Minifigures","550-The Simpsons Series 1"
20,"608-Disney","263-Pirates of the Caribbean"
3,"591-Juniors","620-Jurassic World: Fallen Kingdom"
20,"535-Collectible Minifigures","684-DC Super Heroes"
7,"186-Castle","187-Black Falcons"
7,"307-Aquazone","312-Hydronauts"
21,"126-Space","141-Space Police III"
9,"411-Legoland","420-Hospital"
9,"52-City","54-Cargo"
3,"186-Castle","203-Wolfpack"
4,"591-Juniors","596-Marvel Super Heroes"
19,"535-Collectible Minifigures","544-Series 9 Minifigures"
35,"458-Sports","459-Basketball"
11,"632-Town","636-My Town"
19,"754-Disney","640-Disney Princess"
5,"529-Technic","531-eLAB"
4,"754-Disney","627-Planes"
4,"754-Disney","648-Doc McStuffins"
369,"507-Educational and Dacta","524-Service Packs"
90,"507-Educational and Dacta","518-Mindstorms"
174,"695-Super Heroes DC","697-Batman"
199,"206-Seasonal","227-Christmas"
108,"696-Super Heroes Marvel","706-Spider-Man"
106,"233-Train","236-9V"
88,"52-City","56-Construction"
48,"1-Technic","4-Expert Builder"
67,"22-Creator","673-Creator Expert"
19,"535-Collectible Minifigures","552-Series 14 Minifigures"
124,"501-Gear","734-Magnets"
23,"1-Technic","21-Universal Building Set"
8,"307-Aquazone","308-Aquanauts"
21,"535-Collectible Minifigures","555-Disney Series 1"
10,"112-Racers","123-World Racers"
19,"535-Collectible Minifigures","554-Series 15 Minifigures"
82,"147-Pirates","148-Pirates I"
