"n_items","source_name","target_name"
29,"4 Juniors",Jack Stone
3,"4 Juniors",Spider-Man
2,Advent,Castle
15,Advent,Star Wars
21,Advent,City
4,Advent,Marvel
1,Advent,Belville
6,Advent,Harry Potter
1,Advent,Classic Basic
1,Advent,Pirates
2,Advent,Clikits
13,Advent,Friends
4,Advent,Creator
26,Adventurers,Desert
10,Adventurers,Jungle
19,Adventurers,Dino Island
28,Adventurers,Orient Expedition
15,Agents,Ultra Agents
17,Alpha Team,Mission Deep Sea
9,Alpha Team,Mission Deep Freeze
3,Aquazone,Aquaraiders I
5,Aquazone,Aquasharks
11,Aquazone,Aquaraiders II
8,Aquazone,Aquanauts
5,Aquazone,Stingrays
7,Aquazone,Hydronauts
15,Architecture,Skylines
7,Batman,UCS
44,Batman,The LEGO Batman Movie
19,Bionicle,Playsets
6,Bionicle,Protectors
99,Books,Ideas Books
10,Books,Technic
370,Books,Activity Books with LEGO Parts
146,Books,Non-fiction Books
211,Books,Activity Books
241,Books,Story Books
8,Castle,Classic Castle
9,Castle,Royal Knights
7,Castle,Black Falcons
7,Castle,Forestmen
27,Castle,Lion Knights
14,Castle,Dragon Knights
17,Castle,Fright Knights
86,Castle,Knights Kingdom II
16,Castle,Black Knights
21,Castle,Knights Kingdom I
36,Castle,Fantasy Era
3,Castle,Wolfpack
3,Castle,Dark Forest
25,Castle,Kingdoms
36,Christmas,Creator
22,City,Harbor
16,City,Mars Exploration
24,City,Hospital
200,City,Police
10,City,Jungle
25,City,Arctic
88,City,Construction
21,City,Farm
9,City,Cargo
11,City,Off-Road
28,City,Stuntz
28,City,Coast Guard
120,City,Fire
37,City,Trains
40,City,Airport
62,City,Traffic
19,Collectible Minifigures,Series 12 Minifigures
23,Collectible Minifigures,The LEGO Ninjago Movie
16,Collectible Minifigures,Series 24 Minifigures
16,Collectible Minifigures,Series 26 Minifigures
16,Collectible Minifigures,Series 25 Minifigures
19,Collectible Minifigures,The LEGO Movie
21,Collectible Minifigures,Disney Series 1
23,Collectible Minifigures,The LEGO Batman Movie Series 2
20,Collectible Minifigures,DC Super Heroes
19,Collectible Minifigures,The Simpsons Series 2
16,Collectible Minifigures,Series 21 Minifigures
23,Collectible Minifigures,The LEGO Movie II
19,Collectible Minifigures,Series 3 Minifigures
19,Collectible Minifigures,Series 15 Minifigures
19,Collectible Minifigures,Series 14 Minifigures
20,Collectible Minifigures,Series 18 Minifigures
17,Collectible Minifigures,Marvel Series 2
20,Collectible Minifigures,Series 20 Minifigures
16,Collectible Minifigures,The Muppets
19,Collectible Minifigures,Series 7 Minifigures
16,Collectible Minifigures,Marvel Series 1
19,Collectible Minifigures,Series 6 Minifigures
22,Collectible Minifigures,Disney 100
23,Collectible Minifigures,The LEGO Batman Movie Series 1
19,Collectible Minifigures,Series 2 Minifigures
16,Collectible Minifigures,Series 23 Minifigures
19,Collectible Minifigures,DFB Minifigures
20,Collectible Minifigures,Series 19 Minifigures
12,Collectible Minifigures,Team GB
19,Collectible Minifigures,Harry Potter and Fantastic Beasts Series 2
19,Collectible Minifigures,Series 13 Minifigures
21,Collectible Minifigures,Disney Series 2
19,Collectible Minifigures,The Simpsons Series 1
19,Collectible Minifigures,Series 5 Minifigures
25,Collectible Minifigures,Harry Potter and Fantastic Beasts Series 1
19,Collectible Minifigures,Series 17 Minifigures
16,Collectible Minifigures,Series 22 Minifigures
19,Collectible Minifigures,Series 9 Minifigures
19,Collectible Minifigures,Series 11 Minifigures
19,Collectible Minifigures,Series 4 Minifigures
19,Collectible Minifigures,Series 1 Minifigures
19,Collectible Minifigures,Series 16 Minifigures
19,Collectible Minifigures,Series 8 Minifigures
16,Collectible Minifigures,Looney Tunes
21,Collectible Minifigures,Series 10 Minifigures
255,Creator,Creator 3-in-1
52,Creator,Designer Sets
26,Creator,X-Pod
37,Creator,Early Creator
4,Creator,Inventor
67,Creator,Creator Expert
119,Disney,Disney Princess
21,Disney,Cars
20,Disney,Pirates of the Caribbean
34,Disney,Frozen
4,Disney,Planes
18,Disney,Mickey & Friends
18,Disney,Winnie the Pooh
7,Disney,Jake and the Never Land Pirates
6,Disney,Toy Story
4,Disney,Doc McStuffins
15,Disney,Mickey Mouse
7,Disney,Prince of Persia
