"year","theme_id","theme_name","relative","parent_theme_id","parent_theme_name"
2014,65,Arctic,son,52,City
2004,114,Ferrari,son,112,Racers
2000,135,Life On Mars,son,126,Space
1979,143,Supplemental,son,126,Space
2004,198,Knights Kingdom II,son,186,Castle
1975,419,Harbor,son,411,Legoland
1970,423,Vehicle,son,411,Legoland
1980,498,Technic,son,497,Books
2010,506,Cars,son,754,Disney
2017,609,The LEGO Batman Movie Series 1,son,535,Collectible Minifigures
2011,701,Superman,son,695,Super Heroes DC
2001,741,Tabletop Games and Puzzles,son,501,Gear
2009,141,Space Police III,son,126,Space
2010,157,Bricktober,son,598,Promotional
1977,227,Christmas,son,206,Seasonal
1998,260,RCX,son,258,Mindstorms
2003,300,Orient Expedition,son,296,Adventurers
1970,417,Fire,son,411,Legoland
1976,516,Duplo and Explore,son,507,Educational and Dacta
2006,519,NXT,son,518,Mindstorms
2012,542,Series 7 Minifigures,son,535,Collectible Minifigures
2014,549,The LEGO Movie,son,535,Collectible Minifigures
2012,562,The Hobbit,son,561,The Hobbit and Lord of the Rings
2013,638,Jake and the Never Land Pirates,son,754,Disney
2006,672,Creator 3-in-1,son,22,Creator
2006,698,UCS,son,697,Batman
2023,743,Series 24 Minifigures,son,535,Collectible Minifigures
2024,753,Series 25 Minifigures,son,535,Collectible Minifigures
2000,17,Speed Slammers,son,1,Technic
2004,287,Spider-Man,son,279,"4 Juniors"
2014,550,The Simpsons Series 1,son,535,Collectible Minifigures
2020,684,DC Super Heroes,son,535,Collectible Minifigures
2001,730,Audio and Visual Media,son,501,Gear
2015,154,Pirates III,son,147,Pirates
1973,422,Space,son,411,Legoland
2004,213,Clikits,son,207,Advent
2015,360,Protectors,son,324,Bionicle
1949,371,Supplemental,son,365,System
1999,106,City Center,son,50,Town
2001,214,Creator,son,207,Advent
2001,666,Zooters,son,504,Duplo
2012,707,X-Men,son,696,Super Heroes Marvel
2008,104,Town Plan,son,50,Town
2012,702,Avengers,son,696,Super Heroes Marvel
1998,462,Soccer,son,458,Sports
1993,190,Dragon Knights,son,186,Castle
1997,195,Fright Knights,son,186,Castle
2003,277,Mosaic,son,276,Sculptures
1997,309,Aquaraiders I,son,307,Aquazone
2000,388,Mickey Mouse,son,608,Disney
1969,413,Building,son,411,Legoland
1998,470,Classic Basic,son,465,Universal Building Set
2008,521,WeDo,son,518,Mindstorms
2015,552,Series 14 Minifigures,son,535,Collectible Minifigures
2015,553,The Simpsons Series 2,son,535,Collectible Minifigures
2016,597,Ninjago,son,591,Juniors
1956,758,Non-fiction Books,son,497,Books
1987,128,Blacktron I,son,126,Space
1980,533,Town,son,507,Educational and Dacta
2004,647,Castle,son,504,Duplo
2003,661,Little Robots,son,504,Duplo
2004,662,Princess Castle,son,504,Duplo
1980,663,Rattles,son,504,Duplo
1980,19,Supplemental,son,1,Technic
2007,59,Harbor,son,52,City
2005,61,Police,son,52,City
1992,140,Space Police II,son,126,Space
2009,153,Pirates II,son,147,Pirates
1999,261,Star Wars,son,258,Mindstorms
1999,299,Jungle,son,296,Adventurers
1970,412,Airport,son,411,Legoland
1995,530,Control Lab,son,529,Technic
2011,539,Series 4 Minifigures,son,535,Collectible Minifigures
2014,592,DC Comics Super Heroes,son,591,Juniors
2018,667,Fantastic Beasts,son,246,Harry Potter
2000,673,Creator Expert,son,22,Creator
2019,675,The LEGO Movie II,son,535,Collectible Minifigures
2022,725,Series 23 Minifigures,son,535,Collectible Minifigures
2003,734,Magnets,son,501,Gear
2024,762,Series 26 Minifigures,son,535,Collectible Minifigures
1999,20,Throwbot Slizer,son,1,Technic
2013,146,Galaxy Squad,son,126,Space
2013,262,EV3,son,258,Mindstorms
2001,274,Jurassic Park III,son,273,Studios
1976,415,Coast Guard,son,411,Legoland
1970,416,Construction,son,411,Legoland
2012,541,Series 6 Minifigures,son,535,Collectible Minifigures
2018,622,Series 18 Minifigures,son,535,Collectible Minifigures
2016,629,Miles From Tomorrowland,son,754,Disney
2015,648,Doc McStuffins,son,754,Disney
2020,691,Harry Potter and Fantastic Beasts Series 2,son,535,Collectible Minifigures
2006,697,Batman,father,695,Super Heroes DC
