"n_items","source_name","target_name"
327,"501-Gear","733-Houseware"
86,"186-Castle","198-Knights Kingdom II"
16,"571-Legends of Chima","573-Constraction"
9,"304-Alpha Team","306-Mission Deep Freeze"
14,"258-Mindstorms","262-EV3"
14,"411-Legoland","417-Fire"
21,"126-Space","137-Mars Mission"
25,"112-Racers","122-RC"
96,"465-Universal Building Set","473-Supplemental"
31,"206-Seasonal","230-Halloween"
38,"598-Promotional","157-Bricktober"
19,"535-Collectible Minifigures","557-DFB Minifigures"
21,"206-Seasonal","232-Valentine"
22,"258-Mindstorms","260-RCX"
100,"501-Gear","731-Bag and Luggage Tags"
40,"50-Town","94-Town Jr."
76,"443-Service Packs","456-Train"
5,"50-Town","89-Outback"
21,"50-Town","87-Extreme Team"
15,"696-Super Heroes Marvel","704-Guardians of the Galaxy"
31,"504-Duplo","626-Bob the Builder"
10,"504-Duplo","660-Little Forest Friends"
19,"126-Space","144-UFO"
11,"465-Universal Building Set","472-Gears"
19,"535-Collectible Minifigures","549-The LEGO Movie"
34,"608-Disney","687-Frozen"
16,"535-Collectible Minifigures","718-Series 22 Minifigures"
16,"535-Collectible Minifigures","753-Series 25 Minifigures"
8,"206-Seasonal","231-Thanksgiving"
21,"50-Town","90-Paradisa"
9,"504-Duplo","653-DC Comics"
20,"535-Collectible Minifigures","692-Series 20 Minifigures"
10,"147-Pirates","154-Pirates III"
3,"411-Legoland","422-Space"
16,"518-Mindstorms","520-RCX"
3,"754-Disney","629-Miles From Tomorrowland"
15,"207-Advent","209-Star Wars"
369,"507-Educational and Dacta","524-Service Packs"
174,"695-Super Heroes DC","697-Batman"
90,"507-Educational and Dacta","518-Mindstorms"
199,"206-Seasonal","227-Christmas"
108,"696-Super Heroes Marvel","706-Spider-Man"
106,"233-Train","236-9V"
88,"52-City","56-Construction"
82,"147-Pirates","148-Pirates I"
67,"22-Creator","673-Creator Expert"
124,"501-Gear","734-Magnets"
21,"535-Collectible Minifigures","555-Disney Series 1"
22,"52-City","59-Harbor"
23,"1-Technic","21-Universal Building Set"
8,"307-Aquazone","308-Aquanauts"
19,"535-Collectible Minifigures","552-Series 14 Minifigures"
19,"535-Collectible Minifigures","554-Series 15 Minifigures"
18,"408-LEGO Brand Store","619-Cities of Wonders"
23,"535-Collectible Minifigures","618-The LEGO Ninjago Movie"
10,"112-Racers","123-World Racers"
33,"507-Educational and Dacta","509-SPIKE"
20,"535-Collectible Minifigures","681-Series 19 Minifigures"
48,"1-Technic","4-Expert Builder"
18,"504-Duplo","631-Thomas & Friends"
22,"50-Town","106-City Center"
19,"324-Bionicle","341-Playsets"
16,"504-Duplo","661-Little Robots"
7,"504-Duplo","662-Princess Castle"
10,"504-Duplo","665-Western"
105,"126-Space","130-Classic Space"
8,"186-Castle","189-Classic Castle"
19,"535-Collectible Minifigures","547-Series 11 Minifigures"
12,"535-Collectible Minifigures","546-Team GB"
92,"233-Train","235-4.5V"
19,"535-Collectible Minifigures","611-Series 17 Minifigures"
21,"535-Collectible Minifigures","677-Disney Series 2"
9,"186-Castle","201-Royal Knights"
28,"52-City","744-Stuntz"
4,"504-Duplo","651-Pirates"
8,"696-Super Heroes Marvel","705-Iron Man"
6,"504-Duplo","659-Dolls"
9,"126-Space","131-Exploriens"
1,"411-Legoland","414-Castle"
18,"458-Sports","461-Hockey"
13,"504-Duplo","664-Toolo"
21,"535-Collectible Minifigures","545-Series 10 Minifigures"
7,"697-Batman","698-UCS"
10,"529-Technic","530-Control Lab"
10,"706-Spider-Man","755-Spidey and His Amazing Friends"
6,"207-Advent","710-Harry Potter"
1,"207-Advent","212-Classic Basic"
19,"535-Collectible Minifigures","538-Series 3 Minifigures"
19,"535-Collectible Minifigures","553-The Simpsons Series 2"
25,"411-Legoland","413-Building"
11,"1-Technic","18-Star Wars"
28,"296-Adventurers","300-Orient Expedition"
1,"233-Train","241-Supplemental"
14,"186-Castle","190-Dragon Knights"
11,"126-Space","133-Ice Planet 2002"
50,"206-Seasonal","229-Easter"
27,"186-Castle","199-Lion Knights"
19,"535-Collectible Minifigures","541-Series 6 Minifigures"
42,"411-Legoland","416-Construction"
20,"535-Collectible Minifigures","622-Series 18 Minifigures"
370,"497-Books","761-Activity Books with LEGO Parts"
47,"50-Town","105-World City"
531,"365-System","371-Supplemental"
57,"365-System","372-Town Plan"
12,"126-Space","142-Spyrius"
37,"22-Creator","674-Early Creator"
24,"52-City","60-Hospital"
16,"535-Collectible Minifigures","725-Series 23 Minifigures"
17,"535-Collectible Minifigures","750-Marvel Series 2"
17,"186-Castle","195-Fright Knights"
1,"411-Legoland","415-Coast Guard"
5,"504-Duplo","628-Dora the Explorer"
6,"50-Town","88-Launch Command"
2,"273-Studios","274-Jurassic Park III"
11,"458-Sports","460-Gravity Games"
149,"365-System","756-Samsonite"
1,"50-Town","104-Town Plan"
36,"227-Christmas","228-Creator"
6,"754-Disney","633-Toy Story"
2,"207-Advent","213-Clikits"
100,"504-Duplo","754-Disney"
467,"504-Duplo","632-Town"
26,"296-Adventurers","297-Desert"
30,"126-Space","135-Life On Mars"
19,"126-Space","134-Insectoids"
31,"411-Legoland","423-Vehicle"
45,"400-Hero Factory","401-Heroes"
62,"52-City","63-Traffic"
36,"400-Hero Factory","403-Villains"
28,"52-City","55-Coast Guard"
19,"535-Collectible Minifigures","548-Series 12 Minifigures"
357,"501-Gear","739-Stationery and Office Supplies"
14,"695-Super Heroes DC","701-Superman"
21,"561-The Hobbit and Lord of the Rings","566-The Lord of the Rings"
10,"296-Adventurers","299-Jungle"
17,"1-Technic","20-Throwbot Slizer"
8,"591-Juniors","615-Cars"
4,"591-Juniors","597-Ninjago"
11,"52-City","64-Off-Road"
99,"501-Gear","735-Plush Toys"
73,"504-Duplo","634-Trains"
37,"52-City","66-Trains"
17,"598-Promotional","471-Ferries"
65,"501-Gear","738-Seasonal"
3,"411-Legoland","419-Harbor"
23,"507-Educational and Dacta","510-Serious Play"
2,"246-Harry Potter","667-Fantastic Beasts"
4,"126-Space","145-Unitron"
19,"296-Adventurers","298-Dino Island"
4,"411-Legoland","424-Western"
7,"365-System","369-Jumbo Bricks"
11,"50-Town","51-Arctic"
122,"696-Super Heroes Marvel","702-Avengers"
16,"535-Collectible Minifigures","720-The Muppets"
215,"365-System","368-HO 1:87 Vehicles"
44,"258-Mindstorms","259-NXT"
4,"22-Creator","406-Inventor"
3,"279-4 Juniors","287-Spider-Man"
21,"754-Disney","506-Cars"
18,"754-Disney","641-Mickey & Friends"
18,"754-Disney","635-Winnie the Pooh"
2,"207-Advent","211-Castle"
75,"206-Seasonal","207-Advent"
19,"535-Collectible Minifigures","537-Series 2 Minifigures"
19,"535-Collectible Minifigures","543-Series 8 Minifigures"
99,"497-Books","757-Ideas Books"
23,"535-Collectible Minifigures","609-The LEGO Batman Movie Series 1"
214,"501-Gear","732-Clocks and Watches"
100,"608-Disney","579-Disney Princess"
11,"126-Space","136-M:Tron"
19,"535-Collectible Minifigures","536-Series 1 Minifigures"
25,"186-Castle","196-Kingdoms"
10,"497-Books","498-Technic"
21,"507-Educational and Dacta","534-Universal Building Set"
16,"126-Space","143-Supplemental"
25,"561-The Hobbit and Lord of the Rings","562-The Hobbit"
8,"591-Juniors","595-Friends"
37,"112-Racers","114-Ferrari"
6,"507-Educational and Dacta","526-Soft Bricks"
23,"535-Collectible Minifigures","711-The LEGO Batman Movie Series 2"
5,"591-Juniors","593-Disney Princess"
15,"252-Architecture","253-Skylines"
241,"497-Books","759-Story Books"
223,"501-Gear","737-Role Play Toys and Costumes"
23,"535-Collectible Minifigures","675-The LEGO Movie II"
13,"50-Town","92-Res-Q"
10,"126-Space","127-Alien Conquest"
36,"507-Educational and Dacta","533-Town"
41,"501-Gear","741-Tabletop Games and Puzzles"
15,"608-Disney","388-Mickey Mouse"
11,"411-Legoland","421-Police"
2,"507-Educational and Dacta","511-Building Set with People"
5,"307-Aquazone","313-Stingrays"
3,"186-Castle","191-Dark Forest"
3,"258-Mindstorms","261-Star Wars"
1,"155-Modular Buildings","156-Mini"
109,"458-Sports","462-Soccer"
22,"50-Town","93-Space Port"
16,"535-Collectible Minifigures","714-Looney Tunes"
19,"598-Promotional","728-McDonalds"
9,"504-Duplo","630-Marvel"
60,"504-Duplo","652-Playhouse"
282,"524-Service Packs","525-Technic"
21,"207-Advent","208-City"
9,"518-Mindstorms","519-NXT"
7,"754-Disney","638-Jake and the Never Land Pirates"
1,"207-Advent","215-Pirates"
1,"207-Advent","210-Belville"
73,"507-Educational and Dacta","529-Technic"
28,"126-Space","129-Blacktron II"
298,"507-Educational and Dacta","516-Duplo and Explore"
7,"276-Sculptures","277-Mosaic"
31,"571-Legends of Chima","572-Speedorz"
7,"186-Castle","194-Forestmen"
2,"507-Educational and Dacta","523-Samsonite"
707,"501-Gear","503-Key Chain"
17,"598-Promotional","729-Airlines"
32,"408-LEGO Brand Store","410-Pick A Model"
10,"126-Space","140-Space Police II"
25,"535-Collectible Minifigures","656-Harry Potter and Fantastic Beasts Series 1"
15,"302-Agents","303-Ultra Agents"
21,"112-Racers","118-Promotional"
16,"50-Town","91-Race"
451,"50-Town","67-Classic Town"
51,"158-Star Wars","171-Ultimate Collector Series"
152,"443-Service Packs","453-Technic"
16,"504-Duplo","658-Dino"
5,"1-Technic","17-Speed Slammers"
20,"126-Space","132-Futuron"
21,"52-City","57-Farm"
52,"22-Creator","204-Designer Sets"
75,"501-Gear","730-Audio and Visual Media"
16,"535-Collectible Minifigures","712-Series 21 Minifigures"
16,"535-Collectible Minifigures","762-Series 26 Minifigures"
16,"504-Duplo","647-Castle"
16,"535-Collectible Minifigures","715-Marvel Series 1"
3,"504-Duplo","666-Zooters"
5,"504-Duplo","722-Jurassic World"
22,"535-Collectible Minifigures","745-Disney 100"
9,"126-Space","128-Blacktron I"
6,"411-Legoland","418-Gas Station"
44,"697-Batman","708-The LEGO Batman Movie"
40,"518-Mindstorms","521-WeDo"
86,"632-Town","650-Legoville"
13,"207-Advent","216-Friends"
200,"52-City","61-Police"
120,"52-City","58-Fire"
19,"535-Collectible Minifigures","539-Series 4 Minifigures"
53,"465-Universal Building Set","470-Classic Basic"
12,"126-Space","146-Galaxy Squad"
204,"465-Universal Building Set","467-Basic"
18,"1-Technic","3-Competition"
40,"52-City","53-Airport"
65,"233-Train","234-12V"
19,"535-Collectible Minifigures","556-Series 16 Minifigures"
19,"535-Collectible Minifigures","540-Series 5 Minifigures"
