"type","year","n_items","bigger_item","item_id","item_num","item_name","item_theme_id","item_theme_name","item_img_url","max_color_qtty","item_part_color_id","item_part_color_name","item_part_rgb","item_part_color_group_id","item_part_color_group","item_part_group_rgb","item_part_color_is_trans"
kit,2024,4,1212,214528,"71819-2",Dragon Stone Shrine Influencer Box,435,Ninjago,https://cdn.rebrickable.com/media/sets/71819-2.jpg,297,71,Light Bluish Gray,A0A5A9,1,Gray,"6C6E68",false
set,2024,17,1212,208464,"71819-1",Dragon Stone Shrine,435,Ninjago,https://cdn.rebrickable.com/media/sets/71819-1.jpg,297,71,Light Bluish Gray,A0A5A9,1,Gray,"6C6E68",false
kit,2023,40,4836,195993,FLL2023-9,MASTERPIECE Class Pack (FLL Explore),398,FIRST LEGO League,https://cdn.rebrickable.com/media/sets/fll2023-9.jpg,654,191,Bright Light Orange,F8BB3D,8,Orange,FE8A18,false
set,2023,90,1756,185385,"45823-1",MASTERPIECE Challenge Set,398,FIRST LEGO League,https://cdn.rebrickable.com/media/sets/45823-1.jpg,437,15,White,FFFFFF,3,White,FFFFFF,false
kit,2022,27,9024,176362,"5007439-1",SPIKE Prime Class Pack,509,SPIKE,https://cdn.rebrickable.com/media/sets/5007439-1.jpg,5784,0,Black,"05131D",2,Black,"05131D",false
set,2022,93,2175,144130,"45820-1",SUPERPOWERED Challenge Kit,398,FIRST LEGO League,https://cdn.rebrickable.com/media/sets/45820-1.jpg,543,0,Black,"05131D",2,Black,"05131D",false
kit,2021,46,8688,84231,"5006631-1",BricQ Motion Prime Hybrid Learning Classroom Starter Pack,507,Educational and Dacta,https://cdn.rebrickable.com/media/sets/5006631-1.jpg,2148,0,Black,"05131D",2,Black,"05131D",false
set,2021,151,1918,109242,"45816-1",CARGO CONNECT Challenge Kit,398,FIRST LEGO League,https://cdn.rebrickable.com/media/sets/45816-1.jpg,592,0,Black,"05131D",2,Black,"05131D",false
kit,2020,25,2724,44262,LUNARNEWYEAR-1,Lunar New Year Bundle,686,Chinese Traditional Festivals,https://cdn.rebrickable.com/media/sets/lunarnewyear-1.jpg,518,4,Red,C91A09,4,Red,C91A09,false
set,2020,110,1664,42007,"80105-1",Chinese New Year Temple Fair,686,Chinese Traditional Festivals,https://cdn.rebrickable.com/media/sets/80105-1.jpg,272,4,Red,C91A09,4,Red,C91A09,false
kit,2019,27,1501,42398,"5006061-1",Classic Bricks Bundle,683,LEGO Originals,https://cdn.rebrickable.com/media/sets/5006061-1.jpg,105,15,White,FFFFFF,3,White,FFFFFF,false
set,2019,85,455,29345,"75973-1",D.Va & Reinhardt,669,Overwatch,https://cdn.rebrickable.com/media/sets/75973-1.jpg,127,71,Light Bluish Gray,A0A5A9,1,Gray,"6C6E68",false
kit,2018,24,2694,136489,"5005754-1",Life of Luke Skywalker Collection,158,Star Wars,https://cdn.rebrickable.com/media/sets/5005754-1.jpg,538,70,Reddish Brown,"582A12",9,Brown,"583927",false
set,2018,133,1500,25438,"10717-1",Bricks Bricks Bricks,621,Classic,https://cdn.rebrickable.com/media/sets/10717-1.jpg,105,15,White,FFFFFF,3,White,FFFFFF,false
kit,2017,21,3848,136352,"5005103-1",EV3 Comprehensive Solution (8 Student Pack),518,Mindstorms,https://cdn.rebrickable.com/media/sets/5005103-1.jpg,2167,0,Black,"05131D",2,Black,"05131D",false
set,2017,106,944,19583,"70615-1",Fire Mech,616,The LEGO Ninjago Movie,https://cdn.rebrickable.com/media/sets/70615-1.jpg,234,4,Red,C91A09,4,Red,C91A09,false
kit,2016,49,11470,89487,"5003452-1",StoryStarter Package - 30 Students,507,Educational and Dacta,https://cdn.rebrickable.com/media/sets/5003452-1.jpg,1100,0,Black,"05131D",2,Black,"05131D",false
set,2016,131,4024,7869,"75159-1",Death Star,171,Ultimate Collector Series,https://cdn.rebrickable.com/media/sets/75159-1.jpg,1369,71,Light Bluish Gray,A0A5A9,1,Gray,"6C6E68",false
