"n_pieces","color_name","color_rgb"
2,HO Earth Orange,bb771b
153,Earth Orange,FA9C1C
7,Modulex Light Orange,F7AD63
25,Modulex Orange,F47B30
45326,Orange,FE8A18
176,Light Salmon,FEBABD
484,Medium Orange,FFA70B
186,Salmon,F2705E
10,Curry,DD982E
1621,Modulex Terracotta,"5C5030"
17442,Dark Orange,A95500
675,Reddish Orange,CA4C0B
23814,Bright Light Orange,F8BB3D
5,Fabuland Orange,EF9121
16,Bright Reddish Orange,EE5434
16,Very Light Orange,F3CF9B
19,Warm Yellowish Orange,FFCB78
0,Modulex Foil Orange,F7AD63
66,Light Orange,F9BA61
1,Rust Orange,"872B17"
5724,Coral,FF698F
