"year","color_name","n_pieces"
1957,Black,1
1968,Black,3133
1972,Black,6076
1977,Black,14061
1989,Black,49594
1993,Black,69433
2009,Black,278030
2014,Black,383835
1957,Bright Yellow,0
1968,Bright Yellow,0
1972,Bright Yellow,0
1977,Bright Yellow,0
1989,Bright Yellow,0
1993,Bright Yellow,0
2009,Bright Yellow,89
2014,Bright Yellow,272
1957,Chrome Pink,0
1968,Chrome Pink,0
1972,Chrome Pink,0
1977,Chrome Pink,0
1989,Chrome Pink,0
1993,Chrome Pink,0
2009,Chrome Pink,6
2014,Chrome Pink,6
1957,HO Brown,1
1968,HO Brown,1
1972,HO Brown,1
1977,HO Brown,1
1989,HO Brown,1
1993,HO Brown,1
2009,HO Brown,1
2014,HO Brown,1
1957,HO Blue,0
1968,HO Blue,1
1972,HO Blue,1
1977,HO Blue,1
1989,HO Blue,1
1993,HO Blue,1
2009,HO Blue,1
2014,HO Blue,1
1957,HO Metallic Gray,0
1968,HO Metallic Gray,2
1972,HO Metallic Gray,2
1977,HO Metallic Gray,2
1989,HO Metallic Gray,2
1993,HO Metallic Gray,2
2009,HO Metallic Gray,2
2014,HO Metallic Gray,2
1957,Pink,0
1968,Pink,0
1972,Pink,0
1977,Pink,0
1989,Pink,0
1993,Pink,18
2009,Pink,18
2014,Pink,18
1957,Modulex Foil Red,0
1968,Modulex Foil Red,0
1972,Modulex Foil Red,0
1977,Modulex Foil Red,0
1989,Modulex Foil Red,0
1993,Modulex Foil Red,0
2009,Modulex Foil Red,0
2014,Modulex Foil Red,0
1957,Modulex Teal Blue,0
1968,Modulex Teal Blue,1104
1972,Modulex Teal Blue,1104
1977,Modulex Teal Blue,1104
1989,Modulex Teal Blue,1104
1993,Modulex Teal Blue,1104
2009,Modulex Teal Blue,1104
2014,Modulex Teal Blue,1104
1957,Pastel Blue,0
1968,Pastel Blue,0
1972,Pastel Blue,0
1977,Pastel Blue,0
1989,Pastel Blue,0
1993,Pastel Blue,0
2009,Pastel Blue,501
2014,Pastel Blue,902
1957,Pearl Gold,0
1968,Pearl Gold,0
1972,Pearl Gold,0
1977,Pearl Gold,0
1989,Pearl Gold,0
1993,Pearl Gold,0
2009,Pearl Gold,7
2014,Pearl Gold,7
1957,Pink,0
1968,Pink,0
1972,Pink,0
1977,Pink,0
1989,Pink,0
1993,Pink,206
2009,Pink,687
2014,Pink,687
1957,Rust Orange,0
1968,Rust Orange,0
1972,Rust Orange,0
1977,Rust Orange,0
1989,Rust Orange,0
1993,Rust Orange,0
2009,Rust Orange,1
2014,Rust Orange,1
1957,Speckle Black-Silver,0
1968,Speckle Black-Silver,0
1972,Speckle Black-Silver,0
1977,Speckle Black-Silver,0
1989,Speckle Black-Silver,0
1993,Speckle Black-Silver,0
2009,Speckle Black-Silver,110
2014,Speckle Black-Silver,149
1957,Purple,0
1968,Purple,0
1972,Purple,0
1977,Purple,0
1989,Purple,0
1993,Purple,0
2009,Purple,258
2014,Purple,258
1957,Very Bluish Gray,0
1968,Very Bluish Gray,0
1972,Very Bluish Gray,0
1977,Very Bluish Gray,0
1989,Very Bluish Gray,0
1993,Very Bluish Gray,0
2009,Very Bluish Gray,250
2014,Very Bluish Gray,269
1949,Bright Blue,0
1958,Bright Blue,0
1966,Bright Blue,0
1973,Bright Blue,0
1997,Bright Blue,0
2005,Bright Blue,79
2019,Bright Blue,1105
1949,Clikits Pink,0
1958,Clikits Pink,0
1966,Clikits Pink,0
1973,Clikits Pink,0
1997,Clikits Pink,0
2005,Clikits Pink,0
2019,Clikits Pink,33
1949,Duplo Blue,0
1958,Duplo Blue,0
1966,Duplo Blue,0
1973,Duplo Blue,0
1997,Duplo Blue,0
2005,Duplo Blue,1
2019,Duplo Blue,1
1949,HO Yellow,0
1958,HO Yellow,1
1966,HO Yellow,1
1973,HO Yellow,1
1997,HO Yellow,1
2005,HO Yellow,1
2019,HO Yellow,1
1949,Lilac,0
1958,Lilac,0
1966,Lilac,0
1973,Lilac,0
1997,Lilac,0
2005,Lilac,39
2019,Lilac,39
1949,Violet,0
1958,Violet,0
1966,Violet,0
1973,Violet,0
1997,Violet,142
2005,Violet,192
2019,Violet,192
1949,Lime,0
1958,Lime,0
1966,Lime,0
1973,Lime,0
1997,Lime,12
2005,Lime,1324
2019,Lime,21749
1949,Azure,0
1958,Azure,0
1966,Azure,0
1973,Azure,0
1997,Azure,0
2005,Azure,0
2019,Azure,7309
1949,Lime,0
1958,Lime,0
1966,Lime,0
1973,Lime,0
1997,Lime,0
2005,Lime,205
2019,Lime,205
1949,Modulex Ochre Yellow,0
1958,Modulex Ochre Yellow,0
1966,Modulex Ochre Yellow,1107
1973,Modulex Ochre Yellow,1107
1997,Modulex Ochre Yellow,1107
2005,Modulex Ochre Yellow,1107
2019,Modulex Ochre Yellow,1107
1949,Olive Green,0
1958,Olive Green,0
1966,Olive Green,0
1973,Olive Green,0
1997,Olive Green,0
2005,Olive Green,0
2019,Olive Green,4249
1949,Pearl Red,0
1958,Pearl Red,0
1966,Pearl Red,0
1973,Pearl Red,0
1997,Pearl Red,0
2005,Pearl Red,18
2019,Pearl Red,19
1949,Sand Green,0
1958,Sand Green,0
1966,Sand Green,0
1973,Sand Green,0
1997,Sand Green,0
2005,Sand Green,4228
2019,Sand Green,11676
1949,Sky Blue,0
1958,Sky Blue,0
1966,Sky Blue,0
1973,Sky Blue,0
1997,Sky Blue,0
2005,Sky Blue,125
2019,Sky Blue,127
1961,Chrome Blue,0
1962,Chrome Blue,0
1963,Chrome Blue,0
1978,Chrome Blue,0
1995,Chrome Blue,0
1996,Chrome Blue,0
2002,Chrome Blue,3
2017,Chrome Blue,4
1961,Chrome Green,0
1962,Chrome Green,0
1963,Chrome Green,0
1978,Chrome Green,0
1995,Chrome Green,0
1996,Chrome Green,0
2002,Chrome Green,2
2017,Chrome Green,2
1961,Chrome Silver,0
1962,Chrome Silver,0
1963,Chrome Silver,0
1978,Chrome Silver,2
1995,Chrome Silver,90
1996,Chrome Silver,178
2002,Chrome Silver,765
2017,Chrome Silver,1382
1961,Orange,0
1962,Orange,0
1963,Orange,0
1978,Orange,0
1995,Orange,4
1996,Orange,7
2002,Orange,273
2017,Orange,4857
1961,Duplo Green,0
1962,Duplo Green,0
1963,Duplo Green,0
1978,Duplo Green,0
1995,Duplo Green,0
1996,Duplo Green,0
2002,Duplo Green,0
2017,Duplo Green,1
1961,Fabuland Lime,0
1962,Fabuland Lime,0
1963,Fabuland Lime,0
1978,Fabuland Lime,0
1995,Fabuland Lime,16
1996,Fabuland Lime,16
2002,Fabuland Lime,16
2017,Fabuland Lime,16
1961,HO Gray,3
1962,HO Gray,3
1963,HO Gray,7
1978,HO Gray,11
1995,HO Gray,11
1996,HO Gray,11
2002,HO Gray,11
2017,HO Gray,11
1961,HO Red,2
1962,HO Red,2
1963,HO Red,2
1978,HO Red,2
1995,HO Red,2
1996,HO Red,2
2002,HO Red,2
2017,HO Red,2
1961,Aqua,0
1962,Aqua,0
1963,Aqua,0
1978,Aqua,0
1995,Aqua,0
1996,Aqua,0
2002,Aqua,0
2017,Aqua,661
1961,Magenta,0
1962,Magenta,0
1963,Magenta,0
1978,Magenta,0
1995,Magenta,0
1996,Magenta,0
2002,Magenta,18
2017,Magenta,3758
1961,Modulex Foil Gray,0
1962,Modulex Foil Gray,0
1963,Modulex Foil Gray,0
1978,Modulex Foil Gray,0
1995,Modulex Foil Gray,0
1996,Modulex Foil Gray,0
2002,Modulex Foil Gray,0
2017,Modulex Foil Gray,0
1961,Modulex Blue,0
1962,Modulex Blue,0
1963,Modulex Blue,8
1978,Modulex Blue,8
1995,Modulex Blue,8
1996,Modulex Blue,8
2002,Modulex Blue,8
2017,Modulex Blue,8
1961,Reddish Orange,0
1962,Reddish Orange,0
1963,Reddish Orange,0
1978,Reddish Orange,0
1995,Reddish Orange,0
1996,Reddish Orange,0
2002,Reddish Orange,0
2017,Reddish Orange,0
1961,Sand Red,0
1962,Sand Red,0
1963,Sand Red,0
1978,Sand Red,0
1995,Sand Red,0
1996,Sand Red,0
2002,Sand Red,540
2017,Sand Red,569
1961,[Unknown],0
1962,[Unknown],0
1963,[Unknown],0
1978,[Unknown],0
1995,[Unknown],0
1996,[Unknown],0
2002,[Unknown],0
2017,[Unknown],5
1950,Bright Pink,0
1959,Bright Pink,0
1965,Bright Pink,0
1975,Bright Pink,0
1990,Bright Pink,0
1991,Bright Pink,0
1999,Bright Pink,0
2000,Bright Pink,0
2007,Bright Pink,261
2008,Bright Pink,349
2011,Bright Pink,756
2013,Bright Pink,1788
2020,Bright Pink,8020
2022,Bright Pink,11542
2024,Bright Pink,14159
1950,Turquoise,0
1959,Turquoise,0
1965,Turquoise,0
1975,Turquoise,0
