id,color_name,rgb,color_group,group_rgb,is_trans
1076,Duplo Lime,FFF230,Yellow,F2CD37,FALSE
1139,Trans-Yellow Opal,F5CD2F,Yellow,F2CD37,TRUE
14,Yellow,F2CD37,Yellow,F2CD37,FALSE
18,Light Yellow,FBE696,Yellow,F2CD37,FALSE
46,Trans-Yellow,F5CD2F,Yellow,F2CD37,TRUE
54,Trans-Neon Yellow,DAB000,Yellow,F2CD37,TRUE
226,Bright Light Yellow,FFF03A,Yellow,F2CD37,FALSE
1005,Trans-Fire Yellow,FBE890,Yellow,F2CD37,TRUE
1011,Vintage Yellow,F3C305,Yellow,F2CD37,FALSE
1027,Modulex Light Yellow,FFE371,Yellow,F2CD37,FALSE
1028,Modulex Ochre Yellow,FED557,Yellow,F2CD37,FALSE
1048,Modulex Foil Yellow,FED557,Yellow,F2CD37,FALSE
1062,Vibrant Yellow,EBD800,Yellow,F2CD37,FALSE
1100,Clikits Yellow,FFCF0B,Yellow,F2CD37,FALSE
1122,HO Light Yellow,f5fab7,Yellow,F2CD37,FALSE
15,White,FFFFFF,White,FFFFFF,FALSE
79,Milky White,FFFFFF,White,FFFFFF,FALSE
183,Pearl White,F2F3F2,White,FFFFFF,FALSE
1000,Glow in Dark White,D9D9D9,White,FFFFFF,FALSE
1013,Modulex White,F4F4F4,White,FFFFFF,FALSE
118,Aqua,B3D7D1,Turquoise,3FB69E,FALSE
323,Light Aqua,ADC3C0,Turquoise,3FB69E,FALSE
1104,HO Aqua,B3D7D1,Turquoise,3FB69E,FALSE
1108,HO Dark Aqua,a7dccf,Turquoise,3FB69E,FALSE
1118,HO Light Aqua,a3d1c0,Turquoise,3FB69E,FALSE
1032,Modulex Aqua Green,27867E,Turquoise,3FB69E,FALSE
3,Dark Turquoise,008F9B,Turquoise,3FB69E,FALSE
11,Light Turquoise,55A5AF,Turquoise,3FB69E,FALSE
1090,Duplo Turquoise,3FB69E,Turquoise,3FB69E,FALSE
1115,HO Dark Turquoise,10929d,Turquoise,3FB69E,FALSE
19,Tan,E4CD9E,Tan,E4CD9E,FALSE
28,Dark Tan,958A73,Tan,E4CD9E,FALSE
1080,Light Tan,F3C988,Tan,E4CD9E,FALSE
1089,Warm Tan,CCA373,Tan,E4CD9E,FALSE
1121,HO Light Tan,f9f1c7,Tan,E4CD9E,FALSE
1133,HO Tan,E4CD9E,Tan,E4CD9E,FALSE
1135,Metal,A5ADB4,Silver,C0C0C0,FALSE
76,Speckle DBGray-Silver,6C6E68,Silver,C0C0C0,FALSE
80,Metallic Silver,A5A9B4,Silver,C0C0C0,FALSE
132,Speckle Black-Silver,05131D,Silver,C0C0C0,FALSE
179,Flat Silver,898788,Silver,C0C0C0,FALSE
383,Chrome Silver,E0E0E0,Silver,C0C0C0,FALSE
